year,airportCode,City,averageFare,%YoYChange,%ChangeSince2015,2025Q2InflationAdjFare,%changeYoYInflationAdj,%changeSince2015InflationAdj
2023,MSO,Missoula,556.54,2.56,28.22,582.72,-0.66,-0.97
2024,MSO,Missoula,489.74,-12.00,12.83,499.08,-14.35,-15.18
2015,NATIONAL,National Average,362.31,,,491.17,,
2016,NATIONAL,National Average,346.72,-4.30,-4.30,461.72,-6.00,-6.00
2017,NATIONAL,National Average,347.33,0.18,-4.13,452.94,-1.90,-7.78
2018,NATIONAL,National Average,359.30,3.45,-0.83,458.46,1.22,-6.66
2019,NATIONAL,National Average,356.52,-0.77,-1.60,445.84,-2.75,-9.23
2020,NATIONAL,National Average,260.67,-26.88,-28.05,321.98,-27.78,-34.45
2021,NATIONAL,National Average,,,,,,
2022,NATIONAL,National Average,393.85,,8.71,425.75,,-13.32
2023,NATIONAL,National Average,384.85,-2.29,6.22,402.98,-5.35,-17.96
2024,NATIONAL,National Average,397.63,3.32,9.75,405.22,0.56,-17.50
